slot_id,slot_type,row_id,order,prefix_text,suffix_text,left_content,answer_vocab,filter_tag,unlock_condition,required,placeholder_shape,placeholder_color,editor_note
string,string,string,int,string,string,string,string,string,string,int,string,string,string
槽位ID,scroll/identity/mapping,行ID,排序,卷轴空位前固定字,卷轴空位后固定字,identity/mapping左侧文案,正确答案词条ID,允许拖入tag,行解锁条件,是否必填1/0,占位形状circle/rect,占位颜色#RRGGBB,备注
slot1,scroll,v_aroz,1,,成员,,vocab_aroz,common,always,1,rect,#C2A570,卷轴第一空
slot1,scroll,v_lee,2,,让,,vocab_lee,name,always,1,rect,#C2A570,
slot1,scroll,v_hzs,3,,,,vocab_hzs,common,always,1,rect,#C2A570,
slot1,scroll,v_may,4,,。,,vocab_may,name,always,1,rect,#C2A570,
slot1,scroll,v_americano,5,给他买,,,vocab_americano,drink,always,1,rect,#C2A570,
slot1,scroll,v_work,6,不是为了,,,vocab_work,common,always,1,rect,#C2A570,
slot1,scroll,v_keycard,7,而是为了给,,,vocab_keycard,common,always,1,rect,#C2A570,
slot2,identity,portrait_left,1,,,男艺人,vocab_lee,name,lee_portrait_unlocked,0,circle,#3388ff,Lee头像位
slot2,identity,portrait_right,2,,,化妆师,vocab_may,name,may_portrait_unlocked,0,circle,#ff4444,May头像位
slot3,mapping,row1,1,,,图1,vocab_americano,drink,americano_icon_unlocked,0,circle,#3388ff,美式图标位
slot3,mapping,row2,2,,,图2,vocab_apple_latte,drink,apple_latte_icon_unlocked,0,circle,#ff4444,苹果拿铁图标位
