postid,posttype,tabtype,conditionid,tier,weightlow,weightmid,weighthigh,uniquekey,title,text,avatarpath,imagepath,durationsec,maxparallel,grantfp,grantstars,opiniondelta,postclass,keylevel,refreshcdmin,refreshcdmax
int,int,int,int,string,int,int,int,string,string,string,string,string,int,int,int,int,int,int,int,int,int
postid,posttype,tabtype,conditionid,tier,weightlow,weightmid,weighthigh,uniquekey,title,text,avatarpath,imagepath,durationsec,maxparallel,grantfp,grantstars,opiniondelta,帖类,关键等级,刷新冷却min,刷新冷却max
1,101,903,0,A,10,30,50,,清晰侧脸路透,今天一号航站楼出口蹲到的，画质能看清穿搭，先马住。,,,240,1,100,0,0,2,0,2,100
2,101,903,0,B,30,40,25,,远距离跟拍,人太多了只拍到背影，但确认是今天那班。,,,360,1,60,0,0,1,0,2,100
3,101,903,0,C,50,25,10,,糊图也发,手抖了将就看看，至少证明真的到了。,,,480,1,30,0,0,1,0,2,100
4,102,903,0,A,10,30,50,,行李车近景,推着行李车出来的瞬间抓到了，侧脸线条很清楚。,,,240,1,100,0,0,2,0,2,100
5,102,903,0,B,30,40,25,,保镖挡镜头,安保围得严，只漏出半个帽檐，凑合存。,,,360,1,60,0,0,1,0,2,100
6,102,903,0,C,50,25,10,,接机口远照,站在栏杆外拍的，小但能对上时间。,,,480,1,30,0,0,1,0,2,100
7,103,903,0,A,10,30,50,,会员线人近景,线人反馈的近距离图，五官和外套都能对上。,,,240,1,120,0,0,2,0,2,100
8,103,903,0,B,30,40,25,,贵宾通道出口,走的贵宾通道，拍到上车前最后一眼。,,,360,1,70,0,0,1,0,2,100
9,103,903,0,C,50,25,10,,停车场抓拍,上车前在停车场停了一秒，刚好按到快门。,,,480,1,35,0,0,1,0,2,100
10,201,903,0,A,10,30,50,,拼盘现场前排,开场曲第一句就炸了，这位置值回票价。,,,360,1,100,0,0,2,0,2,100
11,201,903,0,B,30,40,25,,看台中层视角,中层也能看清舞台，灯光打下来全场都在喊。,,,480,1,60,0,0,1,0,2,100
12,201,903,0,C,50,25,10,,末排听响repo,离得远但氛围拉满，录了一段现场音。,,,720,1,30,0,0,1,0,2,100
13,202,903,0,A,10,30,50,,第二现场前排,第二段出场的时候全场手机灯海，前排视野无敌。,,,360,1,100,0,0,2,0,2,100
14,202,903,0,B,30,40,25,,侧台视角,侧面能看到候场动静，演出节奏比想象中快。,,,480,1,60,0,0,1,0,2,100
15,202,903,0,C,50,25,10,,散场人流,散场人挤人，只拍到背影和应援色。,,,720,1,30,0,0,1,0,2,100
16,203,903,0,A,10,30,50,,内场前排repo,内场前排看到的表情细节，这次真的离很近。,,,360,1,120,0,0,2,0,2,100
17,203,903,0,B,30,40,25,,后台口偶遇,散场后在后台口等到片刻，拍到上车前挥手。,,,480,1,70,0,0,1,0,2,100
18,203,903,0,C,50,25,10,,工作人员通道,工作人员通道边远远拍到一组，算意外收获。,,,720,1,35,0,0,1,0,2,100
20,401,0,0,A,10,30,50,,饭圈·行程通报,今日行程已同步，大家线下注意安全，线上专注安利。,,,240,1,120,0,0,3,0,2,100
21,401,0,0,B,30,40,25,,饭圈·机场应援,机场应援点位已更新，请按分区有序集合。,,,360,1,80,0,0,1,0,2,100
22,401,0,0,C,50,25,10,,饭圈·等待repo,人还没到，先整理词条和文案，等图一到就发。,,,480,1,45,0,0,1,0,2,100
23,402,0,0,A,10,30,50,,饭圈·拼盘安利,今晚拼盘舞台高光片段整理好了，欢迎转发扩散。,,,360,1,120,0,0,2,0,2,100
24,402,0,0,B,30,40,25,,饭圈·现场repo,现场氛围很好，应援口号和灯牌都很整齐。,,,480,1,80,0,0,1,0,2,100
25,402,0,0,C,50,25,10,,饭圈·散场总结,散场后记得清点物资，辛苦各位今天线下支援。,,,720,1,45,0,0,1,0,2,100
9001,101,903,0,A,0,0,0,tutorial_seed,教程嫂子路透,新手引导预置帖，曝光秒结算。,,,0,1,0,0,0,3,0,2,100
3010,301,903,0,A,10,30,50,sign_tutorial_a,签售中签·前排repo,教程签售必中A档嫂子帖。,,,240,1,120,0,0,2,0,2,100
